Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:38:11   1.5   0.7   1.3  93.5   3.1    3   9929   3621   16    8   10  17.07 
21:38:12  15.9   0.1   2.6  81.1   0.4    7  29327   7584    8    3    6 113.94 
21:38:13  29.7   0.0   0.5  69.9   0.0    2  25725   8309    3    3    3 173.16 
21:38:14  31.8   0.0   1.6  66.2   0.4    9  57480  13485    5    3    3 155.18 
21:38:15  30.5   0.0   1.6  67.9   0.0    7  50778  11644    3    3    4 151.01 
21:38:16  17.2   0.2   1.8  79.9   1.0    2  26731   6034   12    7   14 103.97 
21:38:17  19.8   0.0   1.9  78.3   0.0    7  25184   6269    8    3    6 131.85 
21:38:18  29.3   0.0   0.4  70.3   0.0    7  36882   7982    3    3    3 156.36 
21:38:19  29.5   0.0   0.2  70.3   0.0    7  43214   7728    3    3    3 141.10 
21:38:20  29.6   0.0   0.2  70.2   0.0    7  42739   7691    3    3    3 141.13 
21:38:21  29.5   0.0   0.3  69.9   0.3    7  42578   7712    3    3    3 140.64 
21:38:22  29.3   0.0   0.3  66.4   4.1    7  42623   7594    3    3    3 140.37 
21:38:23  29.4   0.0   0.3  70.3   0.0    7  43003   7845    3    3    3 141.97 
21:38:24  29.3   0.0   0.3  70.4   0.0    8  42732   7829    3    3    3 142.05 
21:38:25  29.3   0.0   0.4  70.3   0.0    7  43018   7921    4    3    4 143.20 
21:38:26  29.4   0.0   0.3  70.0   0.3    7  43029   8031    3    3    3 143.96 
21:38:27  29.4   0.1   0.3  66.0   4.3    7  43372   8046    3    3    9 143.64 
21:38:28  29.4   0.0   0.4  70.3   0.0    7  43185   7952    3    3    3 143.31 
21:38:29  29.2   0.0   0.3  70.5   0.0    2  42704   7912    3    3    3 144.80 
21:38:30  29.4   0.0   0.3  70.3   0.0    7  43361   7942    3    3    4 143.36 
21:38:31  29.4   0.0   0.3  70.0   0.3    7  42676   7692    3    3    3 143.25 
21:38:32  29.5   0.0   0.3  67.7   2.6    7  43089   7869    3    3    4 144.45 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:38:33  29.3   0.0   0.4  70.3   0.0    7  42897   7605    3    3    3 143.50 
21:38:34  29.5   0.0   0.3  70.2   0.0    7  42819   7604    3    3    3 143.29 
21:38:35  29.1   0.0   0.4  70.5   0.0    8  43182   8081    3    3    3 144.81 
21:38:36  29.5   0.0   0.3  70.0   0.2    3  42927   7699    3    3    3 143.71 
21:38:37  29.3   0.1   0.3  69.2   1.1    7  43303   7918    3    3    3 144.87 
21:38:38  29.3   0.0   0.3  70.4   0.0    8  42764   7897    3    3    3 145.38 
21:38:39  29.4   0.0   0.3  70.3   0.0    7  42594   7921    3    3    3 145.14 
21:38:40  29.2   0.0   0.3  67.4   3.1    7  43422   7998    3    3    3 145.99 
21:38:41  29.3   0.0   0.3  70.3   0.1    7  42908   7991    3    3    3 145.70 
21:38:42  29.4   0.0   0.4  70.2   0.0    8  43265   7934    3    3    3 145.40 
21:38:43  29.4   0.0   0.3  70.3   0.0    8  42680   7990    1    0    1 145.67 
21:38:44  29.4   0.0   0.3  70.4   0.0    7  42923   7793    2    3    2 146.37 
21:38:45  29.5   0.0   0.3  70.1   0.2    7  43038   7954    3    3    3 146.32 
21:38:46  29.4   0.0   0.3  70.3   0.0    7  42609   7848    3    3    3 146.20 
21:38:47  29.3   0.1   0.3  70.4   0.0    7  42731   7987    3    3    3 146.49 
21:38:48  29.4   0.0   0.3  70.4   0.0    7  42996   7986    3    3    3 146.83 
21:38:49  29.4   0.0   0.5  70.2   0.0    7  42549   7838    3    3    3 146.21 
21:38:50  29.3   0.0   0.3  68.3   2.1    7  43410   7942    3    3    3 146.66 
21:38:51  14.1   0.4   2.4  81.7   1.5    2  25355   6333   18    8   14 101.53 
21:38:52  23.4   0.0   1.2  75.4   0.0    7  25380   7116    8    3    5 154.24 
21:38:53  29.5   0.0   0.3  70.3   0.0    7  35439   7869    3    3    3 163.16 
21:38:54  29.4   0.0   0.3  70.3   0.0    7  42842   7818    3    3    3 145.63 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:38:55  29.4   0.0   0.3  70.4   0.0    7  43509   8248    4    3    4 147.42 
21:38:56  29.5   0.0   0.3  70.1   0.2    7  42883   8057    3    3    3 147.69 
21:38:57  29.4   0.0   0.2  70.4   0.0    7  43342   8141    3    3    3 147.72 
21:38:58  29.5   0.0   0.3  70.1   0.1    7  42906   8001    3    3    3 147.69 
21:38:59  29.5   0.1   0.3  70.2   0.0    7  43186   8040    3    3    3 147.91 
21:39:00  29.3   0.0   0.5  70.3   0.0    7  43044   8002    3    3    3 146.94 
21:39:01  29.4   0.0   0.3  69.6   0.8    7  43264   7951    3    3    3 147.56 
21:39:02  29.2   0.0   0.3  69.7   0.8    7  43083   7969    3    3    9 149.08 
21:39:03  29.2   0.0   0.5  70.3   0.0    7  43026   7999    3    3    3 148.29 
21:39:04  29.4   0.0   0.4  70.3   0.0    7  43112   8016    3    3    3 147.18 
21:39:05  29.4   0.0   0.3  70.3   0.0    8  43114   7958    3    3    3 147.28 
21:39:06  29.1   0.0   0.4  69.7   0.8    7  43095   7999    3    3    3 148.12 
21:39:07  29.3   0.0   0.3  69.4   1.0    2  42949   7921    3    3    4 148.73 
21:39:08  29.3   0.0   0.3  70.4   0.0    7  43313   8053    3    3    3 148.88 
21:39:09  29.2   0.1   0.3  70.5   0.0    7  43542   7938    3    3    3 146.89 
21:39:10  29.2   0.0   0.4  69.7   0.7    7  43313   8099    4    4    4 149.72 
21:39:11  29.3   0.0   0.4  69.1   1.3    7  43490   8202    6    5    6 150.57 
