Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:39:13  29.7   0.3   0.5  68.7   0.9    9  44413   8883   18    8   13 153.97 
21:39:14  40.1   0.2   2.9  56.6   0.2   13  51800  11961    8    3    5 165.02 
21:39:15  58.0   0.0   0.5  41.5   0.0   13  48392  15175    3    3    3 217.38 
21:39:16  58.2   0.1   0.5  41.3   0.0   13  47632  15342    3    3    3 221.61 
21:39:17  58.4   0.0   0.6  41.1   0.0    9  50684  15586    3    3    3 185.23 
21:39:18  58.2   0.0   0.5  41.3   0.0    8  51083  15781    3    3    3 184.56 
21:39:19  58.4   0.0   0.4  40.5   0.8   13  50985  15597    3    3    3 184.50 
21:39:20  58.1   0.0   0.6  41.3   0.0   13  51056  15649    3    3    3 185.03 
21:39:21  58.6   0.0   0.4  41.0   0.0   14  50742  15501    3    3    3 185.42 
21:39:22  58.2   0.1   0.5  41.0   0.3   13  51033  15642    3    3    3 184.94 
21:39:23  58.4   0.0   0.4  41.2   0.0   13  50207  15694    3    3    3 185.09 
21:39:24  58.6   0.0   0.5  40.0   0.9   13  49057  15536    3    3    9 187.76 
21:39:25  58.7   0.1   0.5  40.8   0.0   15  49144  15496    4    3    4 186.30 
21:39:26  55.7   0.0   0.9  43.4   0.0    8  48942  15010    3    3    3 184.63 
21:39:27  30.7   0.4   3.9  63.9   1.1    8  46082  10550   17    8   14 167.10 
21:39:28  55.9   0.0   0.8  43.3   0.0   13  52764  15569    8    3    5 203.83 
21:39:29  58.4   0.0   0.4  41.2   0.0   14  48624  19661    3    3    3 218.30 
21:39:30  58.5   0.0   0.4  41.1   0.0   13  51337  15648    3    3    3 189.49 
21:39:31  58.4   0.0   0.5  41.1   0.0   13  50456  15494    3    3    3 188.87 
21:39:32  58.5   0.0   0.6  38.8   2.2   13  50720  15531    3    3    3 188.51 
21:39:33  58.4   0.1   0.4  40.0   1.1   14  50452  15604    3    3    3 171.35 
21:39:34  58.1   0.0   0.6  41.3   0.0   13  50939  15585    3    3    3 157.85 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:39:35  58.4   0.0   0.5  41.1   0.0   13  49272  15442    3    3    3 174.61 
21:39:36  58.5   0.0   0.4  41.1   0.0   13  51255  15850    3    3    3 170.36 
21:39:37  58.6   0.0   0.4  39.3   1.7   15  49592  15439    3    3    3 174.07 
21:39:38  58.5   0.1   0.5  40.0   1.0   15  51315  15412    3    3    9 170.72 
21:39:39  58.2   0.0   0.5  41.3   0.0   14  50772  15829    1    0    1 173.93 
21:39:40  58.3   0.0   0.5  40.3   0.9   13  50969  15620    2    3    2 171.69 
21:39:41  58.5   0.0   0.5  39.8   1.3   14  50336  15484    3    3    3 173.51 
21:39:42  58.3   0.0   0.5  41.2   0.0   13  50097  15637    3    3    3 171.23 
21:39:43  58.5   0.1   0.5  41.0   0.0   13  50821  15811    3    3    4 173.01 
21:39:44  58.2   0.0   0.6  41.2   0.0   10  51007  15779    3    3    3 170.77 
21:39:45  58.7   0.1   0.4  40.9   0.0   10  50880  15722    3    3    3 172.37 
21:39:46  58.6   0.0   0.4  41.0   0.1   13  50968  15605    3    3    3 170.40 
21:39:47  58.3   0.0   0.6  41.1   0.0   13  50777  15418    3    3    3 173.05 
21:39:48  58.4   0.0   0.4  41.2   0.0   13  50862  15681    3    3    3 172.05 
21:39:49  53.2   0.0   1.4  45.4   0.0    9  49615  14523    3    3    3 170.10 
21:39:50  29.3   0.4   0.9  67.9   1.5    7  44035   8851   13    4   10 144.73 
21:39:51  29.3   0.0   0.3  70.4   0.0    7  43434   7923    3    3    6 140.96 
21:39:52  29.5   0.0   0.4  70.2   0.0    7  42971   7804    3    3    3 152.79 
21:39:53  29.2   0.0   0.4  70.4   0.0    5  43082   7752    3    3    3 152.06 
21:39:54  29.5   0.0   0.3  70.2   0.0    7  43251   7759    3    3    3 152.21 
21:39:55  29.3   0.0   0.4  68.7   1.7    7  43344   8025    4    3    4 153.32 
21:39:56  29.4   0.0   0.3  70.3   0.0    7  43619   8065    3    3    3 153.64 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:39:57  29.5   0.0   0.3  70.2   0.0    8  43218   7964    3    3    3 152.06 
21:39:58  29.5   0.0   0.3  70.3   0.0    7  43313   8079    3    3    3 153.58 
21:39:59  29.4   0.1   0.4  70.2   0.0    7  42851   7968    3    3    3 153.10 
21:40:00  21.5   0.1   1.4  73.7   3.3    2  33010   7427   11    7   14 128.45 
21:40:01  14.3   0.1   2.4  80.9   2.4    8  22039   5744    9    3   12 112.61 
21:40:02  29.6   0.0   0.4  70.0   0.1    7  26698   7876    4    6    3 186.22 
21:40:03  29.6   0.0   0.2  69.3   0.9    7  43138   8113    6    3    5 152.91 
21:40:04  29.4   0.0   0.3  70.3   0.0    7  42901   7920    3    3    3 153.14 
21:40:05  29.3   0.0   0.3  70.4   0.0    8  42961   7781    3    3    3 151.33 
21:40:06  29.5   0.0   0.3  70.2   0.0    7  42644   7877    3    3    3 151.71 
21:40:07  29.5   0.0   0.3  70.2   0.0    7  42935   7987    3    3    3 152.47 
21:40:08  29.5   0.0   0.3  70.1   0.2    7  42965   7876    3    3    3 153.55 
21:40:09  29.3   0.0   0.3  70.3   0.1    8  43041   8009    3    3    3 153.11 
21:40:10  29.6   0.0   0.2  70.2   0.0    3  43058   8000    3    3    3 153.30 
21:40:11  29.4   0.0   0.3  70.3   0.0    7  43309   8089    7    6    7 152.42 
21:40:12  29.3   0.1   0.3  70.4   0.0    7  43315   8006    3    3    3 153.06 
