prompt_index;num_iterations;avg_power_W;max_power_W;total_energy_Wh;avg_duration_s
0;11;135.384;188.940;6.208776;14.909
1;11;137.785;179.700;11.114494;26.273
2;11;138.979;176.830;13.166041;31.091
3;11;140.490;198.680;26.870571;62.636
4;11;139.012;193.740;13.605029;32.000
5;11;140.145;172.230;483.812676;1129.818
6;11;137.496;177.690;181.457973;425.727
7;11;134.723;169.850;58.413620;137.455
8;11;132.747;173.030;6.956654;16.455
9;11;139.518;177.800;108.421070;254.091
10;11;137.050;180.780;261.077434;611.091
11;11;137.233;183.490;138.486673;323.091
12;10;137.857;184.830;96.904440;249.900
13;10;139.647;190.820;25.682450;66.600
14;10;134.658;173.180;8.314552;21.700
