Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
08:36:02  29.0   0.6   0.4  67.6   2.4    7  38988   7494   10    1    0 152.72 
08:36:03  29.8   0.1   0.5  68.9   0.9   10  38882   7962   15    8   13 141.19 
08:36:04  41.7   0.2   2.9  55.3   0.0   13  47466  11421    9    3    6 157.01 
08:36:05  57.3   0.0   0.3  42.0   0.4   13  42534  17639    9    6    9 198.64 
08:36:06  57.7   0.0   0.3  42.0   0.1   13  42495  15272    3    3    3 183.96 
08:36:07  57.5   0.0   0.4  42.1   0.0   13  47843  14034    3    3    3 155.80 
08:36:08  57.6   0.0   0.4  42.1   0.0   10  46210  13810    3    3    3 106.18 
08:36:09  57.3   0.0   0.5  42.2   0.0   14  45676  13976    3    3    3 114.77 
08:36:10  58.2   0.1   0.3  40.5   1.0   13  46716  13824    3    3    3 183.08 
08:36:11  58.0   0.0   0.3  41.7   0.0   13  47508  13807    4    3    4 185.05 
08:36:12  58.0   0.0   0.3  41.2   0.5   13  47277  15259    3    3    3 186.13 
08:36:13  57.9   0.0   0.4  41.8   0.0   13  46639  19677    3    3    3 187.23 
08:36:14  58.3   0.1   0.4  41.3   0.0    8  46085  17718    3    3    9 186.24 
08:36:15  58.3   0.1   0.3  41.3   0.1   13  45857  17671    3    3    3 182.54 
08:36:16  58.1   0.0   0.3  41.6   0.0   13  47125  17559    3    3    3 180.65 
08:36:17  58.0   0.0   0.3  41.7   0.0   13  46366  18346    3    3    3 179.60 
08:36:18  58.2   0.0   0.3  41.3   0.3   13  46410  17802    3    3    3 177.73 
08:36:19  58.2   0.1   0.2  41.6   0.0    8  47213  17887    3    3    4 176.04 
08:36:20  57.7   0.0   0.3  42.0   0.0   13  47658  19078    3    3    3 174.01 
08:36:21  57.9   0.0   0.4  41.7   0.0   13  46567  18029    3    3    3 175.70 
08:36:22  58.0   0.0   0.3  41.7   0.0   11  45218  18432    3    3    3 176.16 
08:36:23  57.7   0.0   0.4  41.4   0.6   13  47260  17600    3    3    3 174.51 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
08:36:24  58.2   0.1   0.3  41.5   0.0   13  47172  17799    3    3    3 172.59 
08:36:25  58.2   0.0   0.3  41.5   0.0   13  46070  17986    3    3    3 174.16 
08:36:26  58.1   0.0   0.3  41.6   0.0   14  48724  17135    3    3    3 164.83 
08:36:27  58.1   0.0   0.2  41.6   0.0    8  44377  13795    3    3    3 157.79 
08:36:28  57.9   0.0   0.2  41.7   0.2   13  47457  14195    3    3    3 157.90 
08:36:29  57.8   0.0   0.4  41.9   0.0   13  45316  13916    3    3    3 110.26 
08:36:30  57.1   0.0   0.4  42.5   0.1   13  46681  14322    3    3    3 113.33 
08:36:31  57.9   0.1   0.3  41.8   0.0   13  46926  14085    3    3    3 184.91 
08:36:32  58.2   0.0   0.3  41.6   0.0   13  46252  19955    3    3    3 188.01 
08:36:33  58.3   0.0   0.3  41.3   0.2   13  47088  17241    3    3    3 182.98 
08:36:34  58.4   0.0   0.2  41.4   0.0   13  45441  17569    3    3    3 176.40 
08:36:35  41.1   0.5   2.0  55.5   1.0    8  42472  15598   32   14   28 152.62 
08:36:36  42.0   0.0   2.9  55.2   0.0   13  46399  15424    8    3    5 152.64 
08:36:37  57.7   0.1   0.3  42.0   0.0   13  43625  17864    3    3    3 180.91 
08:36:38  58.1   0.0   0.3  41.6   0.0   13  45141  18017    3    3    3 175.38 
08:36:39  58.0   0.0   0.3  41.7   0.0   13  46370  17093    3    3    3 176.17 
08:36:40  58.0   0.0   0.3  41.7   0.0   13  47548  18158    4    3    4 173.21 
08:36:41  58.1   0.0   0.3  40.9   0.8   10  46823  18402    3    3    3 172.24 
08:36:42  58.2   0.0   0.2  41.6   0.0   13  47176  18193    3    3    3 172.58 
08:36:43  57.9   0.0   0.4  41.8   0.0   13  46317  17851    3    3    3 171.44 
08:36:44  58.7   0.1   0.3  40.7   0.3   13  46869  17890    4    3    3 170.83 
08:36:45  57.8   0.0   0.4  41.9   0.0   13  47147  18401    3    3    3 170.04 
