prompt_index;num_iterations;avg_power_W;max_power_W;total_energy_Wh;avg_duration_s
0;9;144.325;198.640;10.787594;29.778
1;9;141.575;186.990;12.399070;34.778
2;9;141.428;188.460;11.040474;31.222
3;9;144.453;200.510;13.243821;36.556
4;9;142.902;189.410;9.785548;27.333
5;9;140.538;187.250;273.888388;767.556
6;9;143.149;187.860;124.802701;347.778
7;9;142.317;189.530;197.523115;543.444
8;9;139.960;172.860;158.035146;444.556
9;9;142.169;174.920;189.550172;526.889
10;9;139.461;181.920;138.541606;396.889
11;8;140.567;179.450;139.507866;440.500
12;8;142.628;189.080;93.844912;293.375
13;8;143.079;192.600;15.330514;49.250
14;8;139.706;175.470;93.640007;298.875
