Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:34:35  29.6   0.3   0.7  69.2   0.3    7  48113  10677    4    0    3 149.84 
16:34:36  30.0   0.4   1.0  68.2   0.5    9  47118  11371   18    8   10 156.68 
16:34:37  41.9   0.4   3.0  54.7   0.1   14  51754  14809   10    3    7 155.02 
16:34:38  59.5   0.3   1.0  39.3   0.0   13  50336  19665    5    3    4 194.18 
16:34:39  57.4   0.2   0.5  42.0   0.0   13  46518  15725    4    3    7 183.31 
16:34:40  57.6   0.3   0.4  41.7   0.0   13  44882  14291    3    3    3  85.22 
16:34:41  57.1   0.4   0.5  42.1   0.0   13  46718  14583    3    3    3 141.67 
16:34:42  57.4   0.5   0.3  40.2   1.7   13  47101  14289    3    3    3 181.34 
16:34:43  57.7   0.4   0.3  41.7   0.0   13  47087  14017    3    3    3 183.00 
16:34:44  54.7   0.5   0.8  44.1   0.0    8  44091  13809    3    3    3 182.36 
16:34:45  33.4   0.5   3.2  62.0   1.0   13  42490  10891   32   13   30 165.10 
16:34:46  57.2   0.3   0.3  42.2   0.0    9  44117  17241    3    3    5 200.65 
16:34:47  57.2   0.3   0.3  42.3   0.0   13  43990  16959    3    3    3 188.30 
16:34:48  57.8   0.4   0.3  41.5   0.2   13  46175  14868    3    3    3 185.99 
16:34:49  57.5   0.3   0.3  41.9   0.0   13  46791  18509    3    3    3 185.59 
16:34:50  57.8   0.4   0.3  40.9   0.7    8  48108  21325    3    3    5 188.46 
16:34:51  57.9   0.4   0.3  41.4   0.0    8  46524  20755    3    3    3 186.68 
16:34:52  57.8   0.4   0.4  41.5   0.0   13  46641  21187    3    3    3 187.51 
16:34:53  33.1   0.5   3.2  60.5   2.7    8  38565  14531   27   13   29 158.99 
16:34:54  54.0   0.5   0.9  44.6   0.2   13  45807  15959    8    3    7 180.11 
16:34:55  57.1   0.2   0.3  42.4   0.0   13  39617  18102    3    3    3 185.42 
16:34:56  57.9   0.4   0.3  41.4   0.0   13  46240  20471    3    3    3 188.30 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:34:57  57.8   0.5   0.3  41.5   0.0   13  47663  20166    3    3    3 184.38 
16:34:58  57.4   0.4   0.4  41.8   0.0   13  46054  15868    3    3    3 165.73 
16:34:59  57.8   0.4   0.3  41.3   0.3   14  47077  14157    3    3    3 156.75 
16:35:00  58.0   0.5   0.3  41.3   0.0   13  43897  13855    3    3    3 157.19 
16:35:01  57.4   0.4   0.4  41.8   0.0   15  46205  13990    3    3    3  88.97 
16:35:02  57.4   0.4   0.4  41.8   0.1   14  46758  14149    4    3    4 138.83 
16:35:03  57.6   0.5   0.3  41.7   0.0   13  45649  14165    2    2    8 182.92 
16:35:04  57.6   0.5   0.3  41.6   0.0   14  47343  13836    4    3    3 185.87 
16:35:05  57.7   0.4   0.3  41.6   0.0   13  47488  14217    3    3    3 186.21 
16:35:06  57.7   0.4   0.3  41.6   0.0   13  47020  15436    4    3    4 186.86 
16:35:07  57.9   0.4   0.4  41.1   0.2   13  45649  21968    3    3    3 189.58 
16:35:08  57.7   0.5   0.3  41.6   0.0   13  46532  20256    3    3    3 184.82 
16:35:09  57.8   0.4   0.3  41.5   0.0   13  47225  20158    3    3    4 187.30 
16:35:10  57.8   0.4   0.3  41.5   0.0    9  46028  19522    3    3    3 182.45 
16:35:11  57.6   0.4   0.3  41.7   0.0   13  48116  19225    3    3    3 182.64 
16:35:12  57.8   0.5   0.2  40.8   0.7   12  46060  19253    3    3    3 182.27 
16:35:13  57.9   0.5   0.3  41.3   0.0   13  45657  19235    3    3    3 178.56 
16:35:14  57.4   0.3   0.3  42.0   0.0   13  46590  18925    3    3    3 179.68 
