prompt_index;avg_power_W;max_power_W;duration_s;energy_Wh
0;162.531;194.180;9;0.406328
1;186.035;200.650;8;0.413411
2;170.829;189.640;54;2.562435
3;170.882;198.650;107;5.078993
4;161.038;188.960;62;2.773432
5;167.466;189.290;149;6.931232
6;167.679;187.740;40;1.863100
7;151.922;187.720;98;4.135654
8;144.079;171.720;16;0.640351
9;147.407;176.920;209;8.557795
10;146.927;180.710;95;3.877240
11;147.106;182.370;122;4.985259
12;150.101;157.900;1129;47.073341
13;147.289;168.700;50;2.045681
14;148.726;172.020;468;19.334380
0;147.834;187.970;6;0.246390
1;146.935;181.590;40;1.632611
2;146.836;166.340;30;1.223633
3;147.943;202.600;45;1.849288
4;147.234;173.570;30;1.226950
